,Parameters,RMSE,MAPE
0,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 5, 'changepoint_prior_scale': 0.01}",33.55823632524147,16.790848226404677
1,"{'seasonality_mode': 'additive', 'n_changepoints': 5, 'changepoint_prior_scale': 0.01}",28.70632949624083,14.133769638358556
2,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 10, 'changepoint_prior_scale': 0.01}",38.96137039381772,19.734438209992913
3,"{'seasonality_mode': 'additive', 'n_changepoints': 10, 'changepoint_prior_scale': 0.01}",32.227683589796875,16.11621029392309
4,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 25, 'changepoint_prior_scale': 0.01}",37.2122885977895,18.809578671624685
5,"{'seasonality_mode': 'additive', 'n_changepoints': 25, 'changepoint_prior_scale': 0.01}",33.145229987878146,16.632831275301204
6,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 50, 'changepoint_prior_scale': 0.01}",36.618471219695856,18.47404455652479
7,"{'seasonality_mode': 'additive', 'n_changepoints': 50, 'changepoint_prior_scale': 0.01}",32.51493314878945,16.278603646512746
8,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 75, 'changepoint_prior_scale': 0.01}",36.8975126988593,18.63378721930583
9,"{'seasonality_mode': 'additive', 'n_changepoints': 75, 'changepoint_prior_scale': 0.01}",32.63571101188047,16.34899386559422
10,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 100, 'changepoint_prior_scale': 0.01}",36.84328479645284,18.60173918002
11,"{'seasonality_mode': 'additive', 'n_changepoints': 100, 'changepoint_prior_scale': 0.01}",32.42299541199319,16.226493292980777
12,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 5, 'changepoint_prior_scale': 0.1}",33.683370016941744,16.85923301892495
13,"{'seasonality_mode': 'additive', 'n_changepoints': 5, 'changepoint_prior_scale': 0.1}",31.74991411184911,15.840094343685909
14,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 10, 'changepoint_prior_scale': 0.1}",39.43770782587694,19.99017774215786
15,"{'seasonality_mode': 'additive', 'n_changepoints': 10, 'changepoint_prior_scale': 0.1}",36.84459405654583,18.672534650234894
16,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 25, 'changepoint_prior_scale': 0.1}",37.32220243988731,18.87042176153355
17,"{'seasonality_mode': 'additive', 'n_changepoints': 25, 'changepoint_prior_scale': 0.1}",34.8704242337904,17.566720027775613
18,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 50, 'changepoint_prior_scale': 0.1}",36.94419170090621,18.613828632022248
19,"{'seasonality_mode': 'additive', 'n_changepoints': 50, 'changepoint_prior_scale': 0.1}",34.668158966585544,17.460542188641995
20,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 75, 'changepoint_prior_scale': 0.1}",37.17063127668142,18.755126138888876
21,"{'seasonality_mode': 'additive', 'n_changepoints': 75, 'changepoint_prior_scale': 0.1}",34.75615743098485,17.50868000986292
22,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 100, 'changepoint_prior_scale': 0.1}",36.842986696372954,18.5802050741182
23,"{'seasonality_mode': 'additive', 'n_changepoints': 100, 'changepoint_prior_scale': 0.1}",34.85711284700558,17.56474619806076
24,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 5, 'changepoint_prior_scale': 0.2}",33.74256903665065,16.892973567318375
25,"{'seasonality_mode': 'additive', 'n_changepoints': 5, 'changepoint_prior_scale': 0.2}",31.90025163925078,15.925470515621779
26,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 10, 'changepoint_prior_scale': 0.2}",39.49629586216327,20.022310903417328
27,"{'seasonality_mode': 'additive', 'n_changepoints': 10, 'changepoint_prior_scale': 0.2}",36.9997212515145,18.757124631740638
28,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 25, 'changepoint_prior_scale': 0.2}",37.37970755277985,18.901502666242763
29,"{'seasonality_mode': 'additive', 'n_changepoints': 25, 'changepoint_prior_scale': 0.2}",34.91570175337315,17.594505840245354
30,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 50, 'changepoint_prior_scale': 0.2}",36.99646196497879,18.6362913719388
31,"{'seasonality_mode': 'additive', 'n_changepoints': 50, 'changepoint_prior_scale': 0.2}",34.82519028947306,17.568957586432607
32,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 75, 'changepoint_prior_scale': 0.2}",37.25709819306143,18.80079322628164
33,"{'seasonality_mode': 'additive', 'n_changepoints': 75, 'changepoint_prior_scale': 0.2}",34.834691390067306,17.57239013609274
34,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 100, 'changepoint_prior_scale': 0.2}",37.3194765196809,18.821204846896787
35,"{'seasonality_mode': 'additive', 'n_changepoints': 100, 'changepoint_prior_scale': 0.2}",34.85711432403619,17.58502323778549
36,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 5, 'changepoint_prior_scale': 0.3}",33.727932233928406,16.88414208296333
37,"{'seasonality_mode': 'additive', 'n_changepoints': 5, 'changepoint_prior_scale': 0.3}",31.972846580500665,15.966481520046877
38,"{'seasonality_mode': 'multiplicative', 'n_changepoints': 10, 'changepoint_prior_scale': 0.3}",39.46939227700303,20.00691423628344
39,"{'seasonality_mode': 'additive', 'n_changepoints': 10, 'changepoint_prior_scale': 0.3}",37.09167368324817,18.807304966122278
